cpu_user,cpu_system,cpu_idle,loadavg_1min,loadavg_5min,loadavg_15min,cpu_freq,cpu_temp,mem_total,mem_free,mem_used_pct,swap_total,swap_free,swap_used_pct,disk_read,disk_write,network_rx,network_tx
12.5,3.8,81.7,2.7578125,2.125,1.7548828125,1000.217625,49.0,33426329600,28147421184,15.8,8589930496,8589930496,0.0,3405347840,2604774400,1308311629,41961492
13.9,4.8,79.3,2.69677734375,2.12255859375,1.75634765625,799.973125,48.0,33426329600,28199452672,15.6,8589930496,8589930496,0.0,3405347840,2606289920,1308315534,41971191
13.2,4.4,80.0,2.69677734375,2.12255859375,1.75634765625,900.222125,48.0,33426329600,28221734912,15.6,8589930496,8589930496,0.0,3405347840,2606437376,1308320952,41977573
13.3,4.1,80.3,2.72119140625,2.13720703125,1.76318359375,800.0199999999999,48.0,33426329600,28236869632,15.5,8589930496,8589930496,0.0,3405347840,2606437376,1308324652,41981531
13.4,4.9,79.4,2.5029296875,2.1015625,1.75341796875,2800.4445000000005,49.0,33426329600,28256960512,15.5,8589930496,8589930496,0.0,3405347840,2607182848,1311448953,42061244
12.0,4.1,81.7,2.5029296875,2.1015625,1.75341796875,800.0282500000001,49.0,33426329600,28245602304,15.5,8589930496,8589930496,0.0,3405347840,2608116736,1312843162,42141281
12.3,4.1,81.6,2.38232421875,2.0830078125,1.7490234375,900.2363749999998,49.0,33426329600,28244365312,15.5,8589930496,8589930496,0.0,3405347840,2623124480,1313826333,42197040
14.7,5.7,76.7,2.38232421875,2.0830078125,1.7490234375,800.0937500000001,49.0,33426329600,28240510976,15.5,8589930496,8589930496,0.0,3405347840,2623890432,1315215222,42268243
13.0,4.3,80.1,2.3515625,2.08154296875,1.75048828125,899.983,48.0,33426329600,28240736256,15.5,8589930496,8589930496,0.0,3405347840,2626860032,1316432608,42333723
12.2,5.3,79.4,2.48388671875,2.11376953125,1.7626953125,3200.69175,53.0,33426329600,28249636864,15.5,8589930496,8589930496,0.0,3405347840,2627298304,1318086836,42417637
13.8,5.3,77.6,2.48388671875,2.11376953125,1.7626953125,800.0068749999999,48.0,33426329600,28257656832,15.5,8589930496,8589930496,0.0,3405347840,2627601408,1325436149,42682156
12.5,4.6,81.5,2.765625,2.1787109375,1.78564453125,800.3908749999999,48.0,33426329600,28196073472,15.6,8589930496,8589930496,0.0,3405347840,2628736000,1326376985,42708031
12.0,4.6,81.6,2.5439453125,2.14208984375,1.77587890625,1400.1474999999998,49.0,33426329600,28187901952,15.7,8589930496,8589930496,0.0,3405347840,2628736000,1326383924,42715281
13.8,4.2,80.2,2.5439453125,2.14208984375,1.77587890625,799.905125,49.0,33426329600,28245434368,15.5,8589930496,8589930496,0.0,3405347840,2636628992,1334588852,42881574
12.9,4.3,80.9,2.33984375,2.1064453125,1.76611328125,800.09825,48.0,33426329600,28219908096,15.6,8589930496,8589930496,0.0,3405347840,2640204800,1334913278,42896195
14.1,4.4,79.4,2.33984375,2.1064453125,1.76611328125,800.05125,48.0,33426329600,28258103296,15.5,8589930496,8589930496,0.0,3405347840,2641953792,1334920298,42904177
22.0,8.7,65.7,2.15234375,2.0712890625,1.75634765625,799.9982500000001,48.0,33426329600,28273053696,15.4,8589930496,8589930496,0.0,3405347840,2643313664,1343522964,43079433
12.9,5.2,80.5,1.97998046875,2.03662109375,1.74658203125,800.1973750000001,48.0,33426329600,28187058176,15.7,8589930496,8589930496,0.0,3405347840,2643313664,1343529884,43088149
